Марка,Модель,Год выпуска,Цена в г.Владивосток,Цена на аукционе,Двигатель,Мощность,Пробег,URL,Возраст,Марка_код,Модель_код,Коробка передач_механика,Коробка передач_не указано,Цвет_желтый,Цвет_зеленый,Цвет_золотой,Цвет_коричневый,Цвет_не указано,Цвет_оранжевый,Цвет_розовый,Цвет_серебристый,Цвет_серый,Цвет_синий,Цвет_фиолетовый,Цвет_черный,Новый,год,месяц,день,день_недели,квартал,день_года,викенд,сезон,дней_с_публикации
Foton,"View  механика, 2021, 5800",2021,1816824,537075,2400,,5800,https://autosender.ru/avto-iz-kitaya/foton/view/19904989,4,23,6305,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Buick,"GL8  автомат, 2021, 6100",2021,1816824,2059330,2000,,6100,https://autosender.ru/avto-iz-kitaya/buick/gl8/19899477,4,7,3310,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
TANK,"300  автомат, 2024, 4200",2024,1816824,1942150,2000,,4200,https://autosender.ru/avto-iz-kitaya/tank/300/19898428,1,62,156,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
BMW,"5er  автомат, 2014, 29780",2014,1816824,941780,2000,,29780,https://autosender.ru/avto-iz-kitaya/bmw/5er/19903516,11,4,429,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
BMW,"X5  автомат, 2014, 28000",2014,1816824,1171800,3000,,28000,https://autosender.ru/avto-iz-kitaya/bmw/x5/19898757,11,4,6527,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
BMW,"7er  механика, 2005, 28000",2005,1816824,323330,4000,,28000,https://autosender.ru/avto-iz-kitaya/bmw/7er/19897543,20,4,627,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"GLB AMG  автомат, 2023, 5400",2023,1816824,2048480,2000,,5400,https://autosender.ru/avto-iz-kitaya/mercedes-benz/glb-amg/19906668,2,49,3436,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"C-klasse AMG  автомат, 2017, 5300",2017,1816824,1158780,2000,,5300,https://autosender.ru/avto-iz-kitaya/mercedes-benz/c-klasse-amg/19906550,8,49,1632,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"C-klasse AMG  автомат, 2018, 9700",2018,1816824,1299830,2000,,9700,https://autosender.ru/avto-iz-kitaya/mercedes-benz/c-klasse-amg/19906098,7,49,1668,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"GLA-klasse AMG  автомат, 2020, 6500",2020,1816824,1397480,1300,,6500,https://autosender.ru/avto-iz-kitaya/mercedes-benz/gla-klasse-amg/19876261,5,49,3409,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,2025,3,7,4,1,66,0,2,125
Lexus,"ES  автомат, 2022, 1500",2022,1816824,3209430,2500,,1500,https://autosender.ru/avto-iz-kitaya/lexus/es/19899707,3,39,2699,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Audi,"Q4  2024, 1630",2024,1816824,1649200,2000,,1630,https://autosender.ru/avto-iz-kitaya/audi/q4/19909992,1,2,4919,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0,2025,3,7,4,1,66,0,2,125
BMW,"5er  автомат, 2022, 7700",2022,1816824,2916480,2000,,7700,https://autosender.ru/avto-iz-kitaya/bmw/5er/19908455,3,4,524,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Buick,"Excelle  механика, 2021, 3000",2021,1816824,420980,1300,,3000,https://autosender.ru/avto-iz-kitaya/buick/excelle/19907721,4,7,3039,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
