Марка,Модель,Год выпуска,Цена,Двигатель,Мощность,Коробка передач,Пробег,Владельцы,Поколение,Комплектация,URL,Возраст,Объем двигателя,Марка_код,Модель_код,Тип кузова_джип/suv 5 дв.,Тип кузова_купе,Тип кузова_лифтбек,Тип кузова_минивэн,Тип кузова_не указано,Тип кузова_открытый,Тип кузова_седан,Тип кузова_универсал,Тип кузова_хэтчбек 3 дв.,Тип кузова_хэтчбек 5 дв.,Привод_задний,Привод_передний,Тип КПП_вариатор,Тип КПП_робот,Тип топлива_гибрид,Тип топлива_дизель,Тип топлива_не указано,Руль_правый,Цвет_белый,Цвет_бордовый,Цвет_голубой,Цвет_желтый,Цвет_зеленый,Цвет_золотистый,Цвет_коричневый,Цвет_красный,Цвет_оранжевый,Цвет_розовый,Цвет_серебристый,Цвет_серый,Цвет_синий,Цвет_фиолетовый,Цвет_черный,Поколение_номер,Мощность/Объем,Новый,год,месяц,день,день_недели,квартал,день_года,викенд,сезон,дней_с_публикации
Hyundai,Palisade,2018,2990000,"дизель, 2.2 л",200,автомат,78728,1,1 поколение,1073,https://auto.drom.ru/spb/hyundai/palisade/783583634.html?from=recommend,7,2.2,35,355,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,90.9090909090909,0,2025,6,29,6,2,180,1,3,11
Volvo,S40,2007,535000,"бензин, 2.4 л",140,АКПП,214927,3,2 поколение,1073,https://auto.drom.ru/spb/volvo/s40/132815604.html?from=recommend,18,2.4,80,406,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2,58.333333333333336,0,2025,6,29,6,2,180,1,3,11
Honda,Clarity,2018,2200000,"бензин, 1.5 л, гибрид",103,вариатор,99278,1,2 поколение,413,https://auto.drom.ru/spb/honda/fcx_clarity/553302435.html?from=recommend,7,,33,143,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2,,0,2025,6,26,3,2,177,0,3,14
Kia,Rio,2005,480000,"бензин, 1.4 л",97,АКПП,198000,4,2 поколение,1073,https://auto.drom.ru/spb/kia/rio/136720884.html?from=recommend,20,1.4,43,392,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2,69.28571428571429,0,2025,6,23,0,2,174,0,3,17
Nissan,X-Trail,2006,429000,"бензин, 2.0 л",140,механика,287000,1,"1 поколение, рестайлинг",519,https://auto.drom.ru/spb/nissan/x-trail/365307458.html?from=recommend,19,2.0,57,508,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,70.0,0,2025,6,25,2,2,176,0,3,15
Opel,Insignia,2010,729000,"бензин, 2.0 л",220,АКПП,291000,4,1 поколение,446,https://auto.drom.ru/spb/opel/insignia/137993991.html?from=recommend,15,2.0,59,253,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,110.0,0,2025,6,20,4,2,171,0,3,20
Volkswagen,Passat,2011,779000,"бензин, 1.8 л",152,робот,292155,4,7 поколение,394,https://auto.drom.ru/spb/volkswagen/passat/341118865.html?from=recommend,14,1.8,79,357,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7,84.44444444444444,0,2025,6,18,2,2,169,0,3,22
BMW,3-Series Gran Turismo,2018,3179000,"дизель, 2.0 л",190,автомат,95651,2,,1073,https://auto.drom.ru/spb/bmw/3-series_gran_turismo/708822332.html?from=recommend,7,2.0,5,24,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,95.0,0,2025,6,29,6,2,180,1,3,11
Audi,A6,2004,1000000,"дизель, 3.0 л",225,АКПП,450000,4,3 поколение,1073,https://auto.drom.ru/spb/audi/a6/746063921.html?from=recommend,21,3.0,3,69,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,75.0,0,2025,7,5,5,3,186,1,3,5
Toyota,Corolla,1999,150000,"бензин, 1.3 л",86,АКПП,180000,4,8 поколение,1073,https://auto.drom.ru/spb/toyota/corolla/613570221.html?from=recommend,26,1.3,78,151,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8,66.15384615384615,0,2025,6,26,3,2,177,0,3,14
Audi,TT,2015,2799900,"бензин, 2.0 л",230,автомат,92944,-1,,1073,https://auto.drom.ru/spb/audi/tt/665293715.html?from=recommend,10,2.0,3,447,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,115.0,0,2025,6,30,0,2,181,0,3,10
Kia,Rio X (X-Line),2017,1469000,"бензин, 1.6 л",123,АКПП,75000,1,1 поколение,1073,https://auto.drom.ru/spb/kia/rio_x-line/468919043.html?from=recommend,8,1.6,43,393,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,76.875,0,2025,7,2,2,3,183,0,3,8
Opel,Astra,2013,760000,"бензин, 1.8 л",140,механика,234456,3,"3 поколение, рестайлинг",1073,https://auto.drom.ru/spb/opel/astra/345956909.html?from=recommend,12,1.8,59,88,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,77.77777777777777,0,2025,6,22,6,2,173,1,3,18
Audi,A4,2024,5999700,"бензин, 2.0 л",190,робот,0,-1,"5 поколение, рестайлинг",1073,https://auto.drom.ru/spb/audi/a4/877415933.html?from=recommend,1,2.0,3,66,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5,95.0,1,2025,6,21,5,2,172,1,3,19
Suzuki,Swift,2008,499000,"бензин, 1.5 л",102,АКПП,209000,4,"3 поколение, рестайлинг",156,https://auto.drom.ru/spb/suzuki/swift/182271963.html?from=recommend,17,1.5,75,446,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,68.0,0,2025,7,7,0,3,188,0,3,3
Mercedes-Benz,Vito,2018,2830000,"дизель, 2.1 л",163,АКПП,130742,3,3 поколение,1073,https://auto.drom.ru/spb/mercedes-benz/vito/447374699.html?from=recommend,7,2.1,52,496,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3,77.61904761904762,0,2025,7,8,1,3,189,0,3,2
Volkswagen,Touareg,2019,5200000,"дизель, 3.0 л",249,АКПП,142000,1,3 поколение,792,https://auto.drom.ru/spb/volkswagen/touareg/778270219.html?from=recommend,6,3.0,79,472,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3,83.0,0,2025,7,3,3,3,184,0,3,7
